day;time;thermal_zone2;thermal_zone0;thermal_zone7;thermal_zone5;thermal_zone3;thermal_zone1;thermal_zone8;thermal_zone6;thermal_zone4
2024-05-08;06:34:17;20.0;41.0;40.0;42.0;41.05;41.0;68.0;66.0;0.05
2024-05-08;06:35:18;20.0;36.0;38.0;37.0;36.05;36.0;38.0;38.0;0.05
